书名,信息,评分,评价数,金句
三国演义（全二册）,[明]罗贯中/人民文学出版社/1998-05/39.50元,9.2,88073人评价,是非成败转头空
哈利·波特与凤凰社,[英]J.K.罗琳/马爱农/人民文学出版社/2003-9/59.00元,8.7,88281人评价,暴脾气的哈利
骆驼祥子,老舍/人民文学出版社/2000-3-1/12.00,8.3,93050人评价,如骆驼喘息般深刻的绝望
牧羊少年奇幻之旅,[巴西]保罗·柯艾略/丁文林/南海出版公司/2009-3-1/25.00元,8.6,91787人评价,你自己就是最大的宝藏
悟空传,今何在/光明日报出版社/2001-4/14.80元,8.3,94756人评价,猴子还是那个猴子，世界早已不是原来的世界
向左走·向右走,幾米/生活·读书·新知三联书店/2002-8/16.00元,8.4,91707人评价,两条平行线相遇的可能
苏菲的世界,（挪威）乔斯坦·贾德/萧宝森/作家出版社/1999-04/26.80元,8.5,89814人评价,最平易近人的哲学入门
哈利·波特与死亡圣器,[英]J.K.罗琳/马爱农/人民文学出版社/2007-10/66.00元,9.0,82800人评价,空
天龙八部,金庸/生活.读书.新知三联书店/1994-5/96.0,9.1,80791人评价,“有情皆孽，无人不冤”
无声告白,[美]伍绮诗/孙璐/江苏凤凰文艺出版社/2015-7/35.00元,8.2,89826人评价,莉迪亚死了，可他们还不知道
局外人,[法]阿尔贝·加缪/柳鸣九/上海译文出版社/2010-8/22.00元,9.0,80784人评价,人生在世，永远也不该演戏作假
白鹿原,陈忠实/人民文学出版社/1997-12/28.00元,8.7,80749人评价,中国乡村史诗
月亮与六便士,[英]威廉·萨默塞特·毛姆/徐淳刚/浙江文艺出版社/2017-1-1/39.80元,8.8,81657人评价,满地都是六便士，他却抬头看见了月亮
呼啸山庄,（英）勃朗特/张扬/人民文学出版社/1999-01-01/27.30元,8.4,84209人评价,近乎暴虐的爱与恨，中文译名后无来者
基督山伯爵,大仲马/周克希/上海译文出版社/1991-12-1/43.90元,9.0,77375人评价,完美的复仇，金庸用法语写作应该就是这样
亲爱的安德烈,龙应台/人民文学出版社/2008-12/26.00,8.7,82261人评价,龙应台母子对话，两代人的思想碰撞
茶花女,小仲马/王振孙/外国文学出版社/1997-3/9.00元,8.2,84203人评价,妓女应当拥有爱情吗？
莲花,安妮宝贝/作家出版社/2006-3/25.00元,8.0,86391人评价,三个生命的交逢，灵魅清冷
一个陌生女人的来信,[奥]斯台芬·茨威格/张玉书/上海译文出版社/2007-7/20.00元,8.7,78742人评价,暗恋的极致
灿烂千阳,[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2007-9/28.00元,8.8,75232人评价,唯有希望与爱可以驱散阴霾
沉默的大多数,王小波/中国青年出版社/1997-10/27.00元,9.1,72565人评价,沉默是沉默者的通行证
了不起的盖茨比,菲茨杰拉德/姚乃强/人民文学出版社/2004-06/12.00元,8.3,77974人评价,梦，就像黛西家的那一缕绿光
福尔摩斯探案全集（上中下）,[英]阿·柯南道尔/丁钟华等/群众出版社/1981-8/53.00元/68.00元,9.2,69495人评价,侦探小说鼻祖
海边的卡夫卡,[日]村上春树/林少华/上海译文出版社/2003-4/25.00元,8.1,79729人评价,背负诅咒的少年，平行世界中的奥德赛
笑傲江湖（全四册）,金庸/生活·读书·新知三联书店/1994-5/76.80元,9.0,70982人评价,武侠的壳，政治斗争的核
兄弟（上）,余华/上海文艺出版社/2005-8/16.00元,8.3,74973人评价,历史苦难中的个人灾变
东方快车谋杀案,[英]阿加莎·克里斯蒂/陈尧光/人民文学出版社/2006-5/18.00元,9.0,68848人评价,谋杀诡计惊人，波洛的抉择耐人寻味
无人生还,[英]阿加莎・克里斯蒂/祁阿红/人民文学出版社/2008-3/19.00,8.9,69157人评价,童谣杀人案
情书,[日]岩井俊二/穆晓芳/天津人民出版社/2004-7/18.00元,8.6,69487人评价,一场误会中的两段爱情，东方式的含蓄隐忍
少有人走的路,[美]M·斯科特·派克/于海生/吉林文史出版社/2007-1/26.00元,8.4,71607人评价,成熟的心智通向更完善的自我
巴黎圣母院,[法]雨果/陈敬容/人民文学出版社/1982-6/22.50元,8.3,70773人评价,潜藏于残缺下的美与崇高
肖申克的救赎,[美]斯蒂芬·金/施寄青/人民文学出版社/2006-7/29.90元,9.1,62596人评价,希望让人自由，电影实在太有名
神雕侠侣,金庸/有1996年11月北平第4次印本/生活·读书·新知三联书店/1994-5/76.80元,8.9,64539人评价,至情至性，情大于武
呐喊,鲁迅/人民文学出版社/1973年3月/0.36元,8.9,63812人评价,新文学的第一声呐喊
羊脂球,（法）莫泊桑/柳鸣九/北京燕山出版社/2007-6/13.50元,8.1,70149人评价,资产阶级的道貌岸然
乌合之众,（法）勒庞/冯克利/中央编译出版社/2011-5-1/16.00元,8.2,69841人评价,群氓心理剖析
动物农场,[英]乔治·奥威尔/荣如德/上海译文出版社/2007-3/10.00元,9.2,60949人评价,太阳底下并无新事
爱你就像爱生命,王小波/上海锦绣文章出版社/2008-5/18.00元,8.8,62493人评价,王小波与李银河的两地书
安徒生童话故事集,（丹麦）安徒生/叶君健/人民文学出版社/1997-08/25.00元,9.2,58876人评价,远不是童话那么简单
民主的细节,刘瑜/上海三联书店/2009-6/25.00,8.6,63520人评价,公民养成手册
我不喜欢这世界，我只喜欢你,乔一/湖南少年儿童出版社/2015-5-1/29.80元,8.0,64671人评价,一想到能和你共度余生，我就对余生充满期待
城南旧事,林海音文/中国青年出版社/2003-7/16.00元,9.0,59872人评价,长亭外，古道边，芳草碧连天
遇见未知的自己,张德芬/华夏出版社/2008-1/29.00,8.0,66811人评价,都市灵修速成
红玫瑰与白玫瑰,张爱玲/花城出版社/1996-06/12.80元,8.4,63565人评价,蚊子血还是饭黏子？
当我谈跑步时我谈些什么,[日]村上春树/施小炜/南海出版公司/2009-1/25.00,8.2,65136人评价,村上同志告诉我们，身体是革命的本钱
鬼吹灯之精绝古城,天下霸唱/安徽文艺出版社/2006/25.00元,8.1,59913人评价,盗墓祖师名不虚传
阿Q正传,鲁迅著/上海书店出版社/2003-7/14.50元,8.7,55545人评价,哀其不幸，怒其不争
巨人的陨落,[英]肯·福莱特/于大卫/江苏凤凰文艺出版社/2016-5-1/129.80元,8.9,54448人评价,五个家族，一场战争
半生缘,张爱玲/北京十月文艺出版社/2006-12/28.00元,8.6,54878人评价,世钧，我们回不去了
华胥引（全二册）,唐七公子/现代出版社/2011-1/39.80元,8.4,57451人评价,现实不如梦中的圆满
梦里花落知多少,三毛/北京十月文艺出版社/2007-6/28.00元,8.8,53483人评价,哀而不伤
朝花夕拾,鲁迅/人民文学出版社/1972年4月/0.25元,8.7,52772人评价,鲁迅的旧事重提
这些都是你给我的爱,文：安东尼/长江文艺出版社/2010-3/24.80元,8.4,55093人评价,只言片语的温暖
陪安东尼度过漫长岁月,安东尼/长江文艺出版社/2008-3/18.00,8.3,55975人评价,真正的片段式写作
一只特立独行的猪,王小波/北方文艺出版社/2006-4/18.80元,8.8,51221人评价,生活就是个缓慢受锤的过程，至少还可以特立独行
射雕英雄传（全四册）,金庸/生活·读书·新知三联书店/1999-04/47.00元,8.9,49168人评价,侠之大者，为国为民
这些人，那些事,吴念真/译林出版社/2011-9/28.00元,8.8,50700人评价,平淡叙述下的惊心动魄
一个人的朝圣,【英】蕾秋·乔伊斯/黄妙瑜/北京联合出版公司/2013-9-1/32.80,8.1,54912人评价,关于爱和信念的旅行
喜宝,亦舒/新世界出版社/2007-2/22.00元,8.0,55995人评价,爱情才是终极的奢侈品
格林童话全集,[德国]格林兄弟/魏以新/人民文学出版社/1994-11/21.45元,9.0,48055人评价,许多隐晦
海底两万里,[法国]儒尔·凡尔纳/沈国华/译林出版社/2002-9/19.50元,8.5,50746人评价,你听说过鹦鹉螺号吗？
如何阅读一本书,[美]莫提默·J.艾德勒/郝明义/商务印书馆/2004-1/38.00元,8.4,50833人评价,读书的方法论
