����,��Ϣ,����,������,���
人类简史,[以色列]尤瓦尔·赫拉利/林俊宏/中信出版社/2014-11/CNY68.00,9.1,91797人评价,跟着人类一同走过十万年
哈利·波特与混血王子,[英]J.K.罗琳/马爱农/人民文学出版社/2005-10/58.00元,8.8,91825人评价,感情线纷乱的一部。再见邓布利多
1Q84BOOK1,[日]村上春树/施小炜/南海出版公司/2010-5/36.00元,8.3,99879人评价,村上的野望，欢迎来到1Q84年
三国演义（全二册）,[明]罗贯中/人民文学出版社/1998-05/39.50元,9.2,88018人评价,是非成败转头空
哈利·波特与凤凰社,[英]J.K.罗琳/马爱农/人民文学出版社/2003-9/59.00元,8.7,88241人评价,暴脾气的哈利
骆驼祥子,老舍/人民文学出版社/2000-3-1/12.00,8.3,92940人评价,如骆驼喘息般深刻的绝望
牧羊少年奇幻之旅,[巴西]保罗·柯艾略/丁文林/南海出版公司/2009-3-1/25.00元,8.6,91746人评价,你自己就是最大的宝藏
悟空传,今何在/光明日报出版社/2001-4/14.80元,8.3,94710人评价,猴子还是那个猴子，世界早已不是原来的世界
向左走·向右走,幾米/生活·读书·新知三联书店/2002-8/16.00元,8.4,91684人评价,两条平行线相遇的可能
苏菲的世界,（挪威）乔斯坦·贾德/萧宝森/作家出版社/1999-04/26.80元,8.5,89785人评价,最平易近人的哲学入门
哈利·波特与死亡圣器,[英]J.K.罗琳/马爱农/人民文学出版社/2007-10/66.00元,9.0,82761人评价,空
天龙八部,金庸/生活.读书.新知三联书店/1994-5/96.0,9.1,80759人评价,“有情皆孽，无人不冤”
无声告白,[美]伍绮诗/孙璐/江苏凤凰文艺出版社/2015-7/35.00元,8.2,89778人评价,莉迪亚死了，可他们还不知道
局外人,[法]阿尔贝·加缪/柳鸣九/上海译文出版社/2010-8/22.00元,9.0,80720人评价,人生在世，永远也不该演戏作假
白鹿原,陈忠实/人民文学出版社/1997-12/28.00元,8.7,80709人评价,中国乡村史诗
月亮与六便士,[英]威廉·萨默塞特·毛姆/徐淳刚/浙江文艺出版社/2017-1-1/39.80元,8.8,81557人评价,满地都是六便士，他却抬头看见了月亮
呼啸山庄,（英）勃朗特/张扬/人民文学出版社/1999-01-01/27.30元,8.4,84176人评价,近乎暴虐的爱与恨，中文译名后无来者
基督山伯爵,大仲马/周克希/上海译文出版社/1991-12-1/43.90元,9.0,77347人评价,完美的复仇，金庸用法语写作应该就是这样
亲爱的安德烈,龙应台/人民文学出版社/2008-12/26.00,8.7,82233人评价,龙应台母子对话，两代人的思想碰撞
茶花女,小仲马/王振孙/外国文学出版社/1997-3/9.00元,8.2,84148人评价,妓女应当拥有爱情吗？
莲花,安妮宝贝/作家出版社/2006-3/25.00元,8.0,86384人评价,三个生命的交逢，灵魅清冷
一个陌生女人的来信,[奥]斯台芬·茨威格/张玉书/上海译文出版社/2007-7/20.00元,8.7,78707人评价,暗恋的极致
灿烂千阳,[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2007-9/28.00元,8.8,75205人评价,唯有希望与爱可以驱散阴霾
沉默的大多数,王小波/中国青年出版社/1997-10/27.00元,9.1,72528人评价,沉默是沉默者的通行证
了不起的盖茨比,菲茨杰拉德/姚乃强/人民文学出版社/2004-06/12.00元,8.3,77927人评价,梦，就像黛西家的那一缕绿光
福尔摩斯探案全集（上中下）,[英]阿·柯南道尔/丁钟华等/群众出版社/1981-8/53.00元/68.00元,9.2,69464人评价,侦探小说鼻祖
海边的卡夫卡,[日]村上春树/林少华/上海译文出版社/2003-4/25.00元,8.1,79712人评价,背负诅咒的少年，平行世界中的奥德赛
笑傲江湖（全四册）,金庸/生活·读书·新知三联书店/1994-5/76.80元,9.0,70968人评价,武侠的壳，政治斗争的核
兄弟（上）,余华/上海文艺出版社/2005-8/16.00元,8.3,74950人评价,历史苦难中的个人灾变
东方快车谋杀案,[英]阿加莎·克里斯蒂/陈尧光/人民文学出版社/2006-5/18.00元,9.0,68815人评价,谋杀诡计惊人，波洛的抉择耐人寻味
无人生还,[英]阿加莎・克里斯蒂/祁阿红/人民文学出版社/2008-3/19.00,8.9,69113人评价,童谣杀人案
情书,[日]岩井俊二/穆晓芳/天津人民出版社/2004-7/18.00元,8.6,69461人评价,一场误会中的两段爱情，东方式的含蓄隐忍
少有人走的路,[美]M·斯科特·派克/于海生/吉林文史出版社/2007-1/26.00元,8.4,71594人评价,成熟的心智通向更完善的自我
巴黎圣母院,[法]雨果/陈敬容/人民文学出版社/1982-6/22.50元,8.3,70741人评价,潜藏于残缺下的美与崇高
肖申克的救赎,[美]斯蒂芬·金/施寄青/人民文学出版社/2006-7/29.90元,9.1,62561人评价,希望让人自由，电影实在太有名
神雕侠侣,金庸/有1996年11月北平第4次印本/生活·读书·新知三联书店/1994-5/76.80元,8.9,64518人评价,至情至性，情大于武
呐喊,鲁迅/人民文学出版社/1973年3月/0.36元,8.9,63772人评价,新文学的第一声呐喊
羊脂球,（法）莫泊桑/柳鸣九/北京燕山出版社/2007-6/13.50元,8.1,70117人评价,资产阶级的道貌岸然
乌合之众,（法）勒庞/冯克利/中央编译出版社/2011-5-1/16.00元,8.2,69812人评价,群氓心理剖析
动物农场,[英]乔治·奥威尔/荣如德/上海译文出版社/2007-3/10.00元,9.2,60920人评价,太阳底下并无新事
爱你就像爱生命,王小波/上海锦绣文章出版社/2008-5/18.00元,8.8,62463人评价,王小波与李银河的两地书
安徒生童话故事集,（丹麦）安徒生/叶君健/人民文学出版社/1997-08/25.00元,9.2,58841人评价,远不是童话那么简单
民主的细节,刘瑜/上海三联书店/2009-6/25.00,8.6,63516人评价,公民养成手册
我不喜欢这世界，我只喜欢你,乔一/湖南少年儿童出版社/2015-5-1/29.80元,8.0,64608人评价,一想到能和你共度余生，我就对余生充满期待
城南旧事,林海音文/中国青年出版社/2003-7/16.00元,9.0,59813人评价,长亭外，古道边，芳草碧连天
遇见未知的自己,张德芬/华夏出版社/2008-1/29.00,8.0,66800人评价,都市灵修速成
红玫瑰与白玫瑰,张爱玲/花城出版社/1996-06/12.80元,8.4,63535人评价,蚊子血还是饭黏子？
当我谈跑步时我谈些什么,[日]村上春树/施小炜/南海出版公司/2009-1/25.00,8.2,65118人评价,村上同志告诉我们，身体是革命的本钱
鬼吹灯之精绝古城,天下霸唱/安徽文艺出版社/2006/25.00元,8.1,59887人评价,盗墓祖师名不虚传
阿Q正传,鲁迅著/上海书店出版社/2003-7/14.50元,8.7,55508人评价,哀其不幸，怒其不争
巨人的陨落,[英]肯·福莱特/于大卫/江苏凤凰文艺出版社/2016-5-1/129.80元,8.9,54434人评价,五个家族，一场战争
半生缘,张爱玲/北京十月文艺出版社/2006-12/28.00元,8.6,54859人评价,世钧，我们回不去了
华胥引（全二册）,唐七公子/现代出版社/2011-1/39.80元,8.4,57425人评价,现实不如梦中的圆满
梦里花落知多少,三毛/北京十月文艺出版社/2007-6/28.00元,8.8,53450人评价,哀而不伤
朝花夕拾,鲁迅/人民文学出版社/1972年4月/0.25元,8.7,52722人评价,鲁迅的旧事重提
这些都是你给我的爱,文：安东尼/长江文艺出版社/2010-3/24.80元,8.4,55086人评价,只言片语的温暖
陪安东尼度过漫长岁月,安东尼/长江文艺出版社/2008-3/18.00,8.3,55962人评价,真正的片段式写作
一只特立独行的猪,王小波/北方文艺出版社/2006-4/18.80元,8.8,51188人评价,生活就是个缓慢受锤的过程，至少还可以特立独行
射雕英雄传（全四册）,金庸/生活·读书·新知三联书店/1999-04/47.00元,8.9,49149人评价,侠之大者，为国为民
这些人，那些事,吴念真/译林出版社/2011-9/28.00元,8.8,50696人评价,平淡叙述下的惊心动魄
一个人的朝圣,【英】蕾秋·乔伊斯/黄妙瑜/北京联合出版公司/2013-9-1/32.80,8.1,54881人评价,关于爱和信念的旅行
喜宝,亦舒/新世界出版社/2007-2/22.00元,8.0,55986人评价,爱情才是终极的奢侈品
格林童话全集,[德国]格林兄弟/魏以新/人民文学出版社/1994-11/21.45元,9.0,48027人评价,许多隐晦
海底两万里,[法国]儒尔·凡尔纳/沈国华/译林出版社/2002-9/19.50元,8.5,50697人评价,你听说过鹦鹉螺号吗？
如何阅读一本书,[美]莫提默·J.艾德勒/郝明义/商务印书馆/2004-1/38.00元,8.4,50819人评价,读书的方法论
杀死一只知更鸟,[美]哈珀·李/高红梅/译林出版社/2012-9/32.00元,9.2,45336人评价,有一种东西不能遵循从众原则，那就是——人的良心
孩子你慢慢来,龙应台/生活·读书·新知三联书店/2009-12-1/28.00元,8.8,46841人评价,我们现在怎样做母亲
你今天真好看,[美]莉兹•克里莫/周高逸/雅众文化/天津人民出版社/2015-8/39.00元,8.7,46456人评价,呆萌可爱的动物段子手
麦琪的礼物,[美]欧·亨利/张经浩/上海社会科学院出版社/2003-7/25.00元,8.6,45320人评价,日常的奇迹
地下铁,幾米/辽宁教育出版社/2002-2/32.00元,8.3,46725人评价,黑暗世界中的点滴亮光
刀锋,[英]毛姆/周煦良/上海译文出版社/2007-3/18.00元,9.0,42295人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
菊与刀,（美）鲁思・本尼迪克特/吕万和/商务印书馆/1990-6/16.00,8.2,46429人评价,复杂矛盾的日本民族
查令十字街84号,[美]海莲·汉芙/陈建铭/译林出版社/2005-05-01/18.00元,8.3,45537人评价,文艺青年的爱情地标
流浪地球,刘慈欣/湖北长江出版集团，长江文艺出版社/2008-11/28.00元,8.6,44458人评价,刘慈欣获中国科幻银河奖的中短篇小说集
步步惊心,桐华/民族出版社/2006-6/25.00元,8.1,46393人评价,现世太苦，不如穿越回去从头来过
孤独六讲,蒋勋/广西师范大学出版社/2009-10-1/36.00元,8.1,45864人评价,作为一种美学的孤独
月亮忘記了,幾米/格林/2000-2-1/NT$299,8.6,42066人评价,月明星稀的晚上，看不见的，看见了
此间的少年,江南/华文出版社/2004-1/25.00元,8.4,43117人评价,象牙塔里的金庸群侠
